nombre_restaurante,lat,lon,place_id,dine_in,direccion,price_level,rating,reservable,serves_beer,serves_breakfast,serves_brunch,serves_dinner,serves_lunch,serves_vegetarian_food,serves_wine,takeout,user_ratings_total,delivery,weelchair,hours_open,num_days_open,open_weekends,cod_distrito,cod_barrio,price_level_mean,rating_mean,user_ratings_mean,num_restaurantes,anio_medio_constr_vivendas,dur_media_credito_viviendas,edad_media_poblacion,num_locales_alta_abiertos,num_locales_alta_cerrados,poblacion_densidad,renta_media_persona,pct_crecimiento_demografico,valor_catast_inmueble_residen,tipo_cocina,Americana / Burgers,Asiática,China,Española,Fusión,Italiana,Japonesa,Latinoamericana,Mexicana,Otros,Arganzuela,Carabanchel,Centro,Chamartín,Chamberí,Ciudad Lineal,Fuencarral - El Pardo,Hortaleza,Latina,Moncloa - Aravaca,Moratalaz,Puente de Vallecas,Retiro,Salamanca,Tetuán,Usera,Abrantes,Acacias,Adelfas,Almagro,Almenara,Almendrales,Aluche,Apóstol Santiago,Arapiles,Argüelles,Atalaya,Atocha,Bellas Vistas,Berruguete,Canillas,Casa de Campo,Castellana,Castilla,Castillejos,Chopera,Ciudad Jardín,Ciudad Universitaria,Colina,Comillas,Cortes,Costillares,Cuatro Caminos,Delicias,El Pardo,El Viso,Embajadores,Entrevías,Estrella,Fontarrón,Fuente del Berro,Fuentelarreina,Gaztambide,Goya,Guindalera,Hispanoamérica,Ibiza,Imperial,Justicia,La Concepción,La Paz,Legazpi,Lista,Los Cármenes,Los Jerónimos,Lucero,Marroquina,Media Legua,Mirasierra,Moscardó,Niño Jesús,Nueva España,Numancia,Opañel,Pacífico,Palacio,Palomeras Bajas,Palos de la Frontera,Peñagrande,Pilar,Pinar del Rey,Piovera,Portazgo,Pradolongo,Prosperidad,Puerta Bonita,Puerta del Ángel,Quintana,Recoletos,Ríos Rosas,San Diego,San Isidro,San Juan Bautista,San Pascual,Sol,Trafalgar,Universidad,Valdeacederas,Valdefuentes,Valdezarza,Vallehermoso,Valverde,Ventas,Vista Alegre,Zofío,tipo_cocina_encoder,y
arroceria aynaelda,40.3959859,-3.754164000000001,ChIJu0clrRCIQQ0R00GSTWpDKZQ,1,"Cl. de los Yébenes, 38, Latina, 28047 Madrid, Spain",2.0,4.1,1,1,1,0,1,1,0,1,1,4927.0,1,1,71.0,7,1,10,104,1.0,4.2125,451.25,8.0,1971.0,315.0,48.58,1665.0,572.0,242.0275107,13495.0,-1.14,74464.0,Española,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,34.86102287137476
buffet latino la suegra,40.3866115,-3.740070999999999,ChIJR08D2YsnQg0RUpRahajdwuw,1,"C. de Castrojeriz, 18, Carabanchel, 28025 Madrid, Spain",2.0,4.1,1,1,0,0,0,1,0,1,0,4003.0,0,1,20.5,4,1,11,114,1.0754716981132075,4.058490566037736,386.5660377358491,53.0,1970.0,306.0,45.17,1887.0,906.0,315.5864586,11310.0,-2.66,60627.0,Latinoamericana,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,7,34.009701475783956
barrigacortadordejamon,40.3893049,-3.7419875,ChIJPTkT8oonQg0R8e131NHINLw,1,"CALLE LAGUNA 107,GAL.COMERCIAL,PTO 23 LA SALMANTINA, CARABANCHEL,MADRID, Carabanchel, 28025 Madrid, Spain",1.0,3.0,1,1,1,1,1,1,1,1,1,4.0,1,1,56.0,7,1,11,114,1.0793650793650793,4.053968253968254,401.85714285714283,63.0,1970.0,306.0,45.17,1887.0,906.0,315.5864586,11310.0,-2.66,60627.0,Española,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3,4.828313737302301
abundancia madrid,40.39018,-3.7439082,ChIJfTtWCyCIQQ0RjSvbD-IZ_cY,1,"C. Vía Carpetana, 350, Latina, 28047 Madrid, Spain",1.0,3.4,1,1,0,1,1,1,1,1,1,249.0,1,1,66.5,7,1,10,104,1.0666666666666667,4.073333333333333,315.31111111111113,45.0,1971.0,315.0,48.58,1665.0,572.0,242.0275107,13495.0,-1.14,74464.0,Española,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,18.772967120731636
restaurante passaparola,40.39015149999999,-3.7530783,ChIJB6AzuSKIQQ0RiIg31sS64Po,1,"C. de Illescas, 98, Local 50, Latina, 28047 Madrid, Spain",1.0,4.2,1,1,0,1,1,1,1,1,1,484.0,1,0,46.5,7,1,10,104,1.0740740740740742,4.096296296296296,497.962962962963,27.0,1971.0,315.0,48.58,1665.0,572.0,242.0275107,13495.0,-1.14,74464.0,Italiana,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,25.973425341937432
papa johns pizza,40.390393,-3.751776099999999,ChIJ9YcJgyKIQQ0RvFvcsjycTGk,1,"Cl. de los Yébenes, 148, Latina, 28047 Madrid, Spain",1.0,2.9,0,1,0,0,1,1,1,0,1,547.0,1,1,86.0,7,1,10,104,1.08,4.156000000000001,514.36,25.0,1971.0,315.0,48.58,1665.0,572.0,242.0275107,13495.0,-1.14,74464.0,Italiana,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,18.288198332149246
restaurante chop suey,40.3868622,-3.7519638,ChIJs3y1EyOIQQ0RChFYzpwZiDQ,1,"C. de Ocaña, 112, Latina, 28047 Madrid, Spain",1.0,4.2,1,1,1,1,1,1,0,1,1,1118.0,1,1,84.0,7,1,10,104,1.1,4.14,499.7,20.0,1971.0,315.0,48.58,1665.0,572.0,242.0275107,13495.0,-1.14,74464.0,China,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,29.484800974910087
restaurante colombiano   asador carnitas,40.3866828,-3.751662399999999,ChIJb_-XcCOIQQ0Ru1EK3Xj4yxo,1,"C. de Ntra. Sra. de la Luz, 118, Latina, 28047 Madrid, Spain",1.0,4.1,1,1,1,1,1,1,0,1,1,384.0,1,1,56.0,6,1,10,104,1.1,4.1450000000000005,536.4,20.0,1971.0,315.0,48.58,1665.0,572.0,242.0275107,13495.0,-1.14,74464.0,Española,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,24.408297670579916
restaurante la romana,40.3869036,-3.7417922,ChIJg3YXO4onQg0Rgz3d6I04Dcw,1,"C. de la Laguna, 139, Carabanchel, 28025 Madrid, Spain",3.0,4.5,1,1,0,1,1,1,0,1,1,227.0,1,1,57.0,6,0,11,114,1.0566037735849056,4.016981132075472,458.1509433962264,53.0,1970.0,306.0,45.17,1887.0,906.0,315.5864586,11310.0,-2.66,60627.0,Española,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3,24.432055330294986
mcdonald s,40.38789999999999,-3.7443,ChIJK8NLkCCIQQ0Riqt_1oUJXHg,1,"C/ La Oca, Gta. Ejército, 105, | Carabanchel, Carabanchel, 28025 Madrid, Spain",1.0,3.8,1,1,1,1,1,1,0,0,1,2479.0,1,1,98.0,7,1,11,114,1.1111111111111112,4.064444444444445,457.7111111111111,45.0,1970.0,306.0,45.17,1887.0,906.0,315.5864586,11310.0,-2.66,60627.0,Española,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3,29.700852588804302
kebab food,40.3875338,-3.744455099999999,ChIJY3qCliCIQQ0Rx2jwcVtqZNQ,1,"P.º de Marcelino Camacho, 51, Carabanchel, 28025 Madrid, Spain",1.0,3.6,1,1,1,1,1,1,1,1,1,152.0,1,1,84.0,7,1,11,114,1.1136363636363635,4.068181818181818,504.8181818181818,44.0,1970.0,306.0,45.17,1887.0,906.0,315.5864586,11310.0,-2.66,60627.0,Otros,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,9,18.10957651701277
rodilla,40.388368,-3.743461,ChIJrR2UeIonQg0RaQZKEblaI3c,1,"C. de la Oca, 102, Carabanchel, 28025 Madrid, Spain",1.0,3.9,0,1,1,1,1,1,0,0,1,656.0,1,1,89.25,7,1,11,114,1.0961538461538463,4.0576923076923075,447.4230769230769,52.0,1970.0,306.0,45.17,1887.0,906.0,315.5864586,11310.0,-2.66,60627.0,Otros,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,9,25.30196767208998
bar tatami grill,40.3922399,-3.7553465,ChIJB0rQuReIQQ0RTKKmf5KQCiI,1,"C. de Camarena, 105, 107, Latina, 28047 Madrid, Spain",1.0,4.1,1,1,1,1,1,1,0,1,1,32.0,0,1,100.0,6,0,10,104,1.05,4.0,636.45,20.0,1971.0,315.0,48.58,1665.0,572.0,242.0275107,13495.0,-1.14,74464.0,Otros,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9,14.335681002012567
museo de la empanada,40.3889794,-3.7421403,ChIJBTOd9IonQg0RYysAPP2odOE,1,"C. de la Laguna, 52, local derecho, Carabanchel, 28025 Madrid, Spain",1.0,4.1,1,1,1,1,1,1,1,1,1,578.0,1,1,91.0,7,1,11,114,1.0819672131147542,4.032786885245901,402.5245901639344,61.0,1970.0,306.0,45.17,1887.0,906.0,315.5864586,11310.0,-2.66,60627.0,Española,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3,26.08134015804928
restaurante nuevo peking,40.3899242,-3.757175100000001,ChIJR6XykD2IQQ0RUw1ExsE5vG0,1,"C. de Camarena, 164, Latina, 28047 Madrid, Spain",1.0,3.4,1,1,1,1,1,1,0,1,1,196.0,1,1,59.5,7,1,10,104,1.0625,4.04375,472.8125,16.0,1971.0,315.0,48.58,1665.0,572.0,242.0275107,13495.0,-1.14,74464.0,China,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,17.96289267770916
cafeteria viena,40.38902719999999,-3.7584813,ChIJZzwA1z2IQQ0Rx97loDY1yIo,1,"C. de Valmojado, 231, Latina, 28047 Madrid, Spain",1.0,3.7,1,1,1,1,1,1,1,1,1,257.0,0,0,83.0,6,1,10,104,1.1111111111111112,4.166666666666667,429.1111111111111,9.0,1971.0,315.0,48.58,1665.0,572.0,242.0275107,13495.0,-1.14,74464.0,Otros,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9,20.545950464209984
restaurante rajasthan curry,40.39240189999999,-3.7414188,ChIJe1P_IvUnQg0RD1qaMeLbo5E,1,"C. Vía Carpetana, 143, Carabanchel, 28047 Madrid, Spain",1.0,3.3,1,1,1,1,1,1,1,1,1,3.0,1,1,77.0,7,1,11,114,1.0454545454545454,4.097727272727273,237.45454545454547,44.0,1970.0,306.0,45.17,1887.0,906.0,315.5864586,11310.0,-2.66,60627.0,Otros,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,9,4.574771391695639
restaurante vinoteca devinums,40.3820632,-3.7482185,ChIJmee0CCaIQQ0RmSOyOYB9J-0,1,"Av. de Ntra. Sra. de Fátima, 86, Carabanchel, 28047 Madrid, Spain",1.0,4.0,1,1,1,1,1,1,0,1,1,2583.0,1,1,91.0,7,1,11,114,1.0,4.0,553.5,2.0,1970.0,306.0,45.17,1887.0,906.0,315.5864586,11310.0,-2.66,60627.0,Española,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3,31.42837545960997
rest bar buen provecho,40.3952819,-3.743160299999999,ChIJC4d6HB6IQQ0RyVATdPKJDPI,1,"Gta. de los Carmenes, Latina, 28047 Madrid, Spain",1.0,4.1,1,1,1,1,1,1,0,1,1,213.0,0,0,96.0,6,1,10,101,1.1111111111111112,4.138888888888889,276.94444444444446,18.0,1977.0,311.0,43.42,277.0,296.0,142.5928793,12379.0,-2.03,77355.0,Española,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,22.00050166158959
